id;street_address;complementary_info;number;main_door;flat_door;level;stair;postal_code;city;state_province
1;Multi-channelled Licensed;grey Cambridgeshire;Canyon HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;infomediaries;Investment Account;Games Regional Digitized;Nicolasburgh;Costa Rica Mayotte
2;Industrial;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable;Small;Jonesmouth;orange Books
3;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;Frozen bus;hard drive Robust Networked;Poland;North Alda;Intelligent Outdoors
4;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual;Refined Squares;maroon;EXE projection Fresh;support Gorgeous;New Herthatown;cutting-edge ability Hat
5;supply-chains magenta;encompassing;Directives;sky blue;Kenyan Shilling robust;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers;Analyst paradigms;East Ewellside;Public-key Granite
6;Way Dominican Republic;Bulgarian Lev navigate;Re-contextualized;web-enabled invoice withdrawal;bypassing optical;installation;Argentine Peso;Kentucky Algerian Dinar Clothing;Raleighberg;deposit Sausages
7;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;Agent;Human deposit;even-keeled Saint Helena Pound;Internal AI optical;Rowenaton;Cheese Dynamic Home Loan Account
8;transform;invoice Home Gloves;Buckinghamshire Ports;Devolved driver Networked;Fish;payment calculating;local area network Benin;turn-key dedicated;New Watsonshire;Cambridgeshire Investor
9;cross-platform Borders;Libyan Dinar CSS;sensor;Alaska;deposit Chips Applications;uniform PCI back up;Tactics architectures Planner;Facilitator Incredible functionalities;Lake Domenickborough;Pants Maryland
10;calculating Intranet Ergonomic Concrete Soap;Director Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant;Synergistic Personal Loan Account Sleek;Borders;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;South Kobyfurt;implementation
